employee_id,first_name,last_name,city,state,zip_code,email,phone_number,date_of_birth,department,salary,ssn
368237,Joshua,Carr,Murraymouth,Kansas,44118,vcolon@example.org,001-698-318-0036x635,1999-02-19,Sales,80104,877-91-3387
322972,Jeff,Tanner,South Kevin,Georgia,40599,whartman@example.com,335-935-6469x6134,1980-07-27,Finance,120863,560-09-1163
985597,Jessica,Phillips,East Allisonville,Delaware,98117,sarahsanchez@example.org,253.563.4052x899,1910-04-29,Finance,133303,768-18-3158
102451,Colton,Williams,Port Eric,Kansas,74140,michaelsimon@example.com,+1-266-334-8977x710,1967-02-01,Marketing,56328,698-52-3465
280896,Nicholas,Friedman,East Lisa,New Mexico,04342,lyonsdavid@example.com,523.818.9806,1970-04-09,Marketing,100031,155-33-2807
529207,William,Carter,Lake Zachary,Vermont,77848,tbutler@example.com,251-535-4276,1921-09-02,Marketing,106849,821-78-4632
598967,Kristopher,Hawkins,South Michaelfort,Connecticut,32661,fbooth@example.com,001-666-494-5186,1973-11-27,Marketing,81935,639-91-4431
319445,David,Brown,Rebeccamouth,Maryland,60371,jennifer12@example.net,+1-386-855-6528x6694,2006-11-13,Marketing,119842,201-07-0414
576868,Richard,King,Skinnertown,South Dakota,20072,nataliehuerta@example.net,529.731.9097,2020-11-20,Sales,77598,062-76-5721
616512,Jonathan,Leon,Webbmouth,Mississippi,59959,sotodeborah@example.com,328.283.2423x15227,2011-02-19,Finance,82150,821-72-8255
366771,Rebecca,Gray,North Jesus,Louisiana,10279,whitney54@example.org,001-982-788-0428,2001-04-30,Engineering,138436,264-55-7646
411751,Brianna,Lin,North Juanview,Oklahoma,63550,christopher86@example.net,967.688.3709,1978-07-27,Human Resources,92077,662-23-9782
670331,Brandon,Barajas,Mollychester,Utah,10485,elijahking@example.net,+1-619-407-6008,1999-08-19,Marketing,138278,498-12-3327
680651,Mary,Walton,Lake Justinmouth,Illinois,05247,thomasclay@example.com,9747422381,1924-07-25,Finance,101244,143-36-5360
778121,Fernando,Larson,West Sean,Mississippi,21012,sweaver@example.com,8018252390,1946-08-26,Sales,77012,195-34-9074
341356,Rebecca,Curtis,Taylorborough,Wyoming,18503,jillbrown@example.com,610-354-1472x732,1970-03-22,Sales,54348,430-75-0837
777740,Rachel,Bailey,Joneshaven,Massachusetts,29286,burchdebbie@example.com,001-270-961-6781x110,2023-08-31,Engineering,78107,211-42-5610
133878,Mark,Gordon,South Erin,Tennessee,22054,pmurray@example.net,759-334-2329,1984-01-11,Human Resources,101511,373-43-3798
463658,Logan,Jordan,Kevinborough,California,78999,robert29@example.net,725-727-9573,2010-05-11,Sales,42859,393-28-0758
652011,Savannah,Thompson,Morenoland,Illinois,02598,joshua10@example.org,656.952.3459x24900,1998-04-15,Human Resources,61023,742-43-8372
634206,Todd,Bennett,New Ashley,Tennessee,53102,stephen46@example.net,239-628-5845x191,1976-02-18,Finance,129655,393-57-8903
861505,Sandra,Elliott,Hardinberg,Pennsylvania,16141,destiny17@example.net,431.298.6864x1847,1944-06-12,Finance,45693,162-06-8126
714673,Cindy,Andrews,Terranceborough,Hawaii,47073,millermichelle@example.org,514.878.7634x1388,1929-08-09,Marketing,54209,483-11-3311
265435,James,Smith,Taylorshire,Connecticut,04033,lisapacheco@example.net,5543034292,1956-12-31,Marketing,106935,092-99-0295
238079,Jesse,Jones,Ellismouth,Idaho,36475,sharprichard@example.com,(763)244-9907,1970-12-12,Engineering,86456,546-04-1323
337772,Hayley,Dixon,West Daniellebury,Florida,11947,berryrenee@example.org,3482803391,2007-02-06,Finance,70569,869-63-4791
575060,Edward,Cooper,North Lisashire,Arizona,02025,cameronfletcher@example.net,949.555.0714x05830,1921-12-04,Sales,75137,350-41-5735
215819,John,Gonzales,Steinberg,Maryland,95904,howardjames@example.com,994-592-1224x312,1980-03-09,Engineering,86944,347-37-8794
292851,David,Mosley,North Zacharyside,Alaska,32605,thomasamy@example.net,(663)824-9572x3928,1950-04-21,Human Resources,104296,515-80-6389
740187,Jason,King,West John,Arizona,86856,theodore53@example.net,553.443.1918x1738,1921-11-09,Marketing,146887,404-49-8717
256606,Linda,Thomas,East Ashleyville,New York,72312,johnreyes@example.com,+1-779-498-4974x0150,1975-08-19,Engineering,90101,340-52-0831
775256,Brittany,Holland,Romeroview,South Carolina,42350,wendymitchell@example.org,313-855-8088x93713,1936-03-11,Finance,108954,652-75-9065
145349,Zachary,Bond,South Michaelchester,Wisconsin,70354,robert42@example.net,306-593-2643,1942-05-16,Engineering,72126,895-01-4879
347728,Lindsey,Wilson,North Shannon,North Dakota,85228,devinheath@example.com,446.217.0265x03575,1951-12-31,Human Resources,125194,773-18-3341
998457,Anthony,Robinson,Jonathanberg,Kentucky,62210,tdudley@example.org,+1-237-770-1284,2010-02-28,Finance,100990,107-85-7327
867326,Laura,Johnson,Jennifermouth,Idaho,76148,reginaldharmon@example.net,+1-921-628-7973x9211,1910-04-03,Finance,86275,889-20-2571
879608,Donna,King,Lisaville,New York,90267,catherine87@example.org,851.745.3809x515,2000-06-23,Engineering,128925,298-07-7962
676847,Terry,Ray,Danielleburgh,Nevada,68844,bethany27@example.org,628-665-9066,1956-12-16,Marketing,63186,293-81-8045
317435,Jodi,Humphrey,Powellton,North Dakota,63917,travislewis@example.org,+1-257-335-1300x507,1977-11-29,Sales,147258,113-63-0373
375964,Scott,Jordan,Laurafurt,South Carolina,07402,nguyendavid@example.org,+1-367-433-0479x01157,1978-03-07,Marketing,120114,227-19-5677
998784,Barbara,Mclaughlin,Gravesshire,Connecticut,83632,garrettsarah@example.net,962.201.4803x4030,1997-12-12,Engineering,30060,759-27-7576
670538,Ellen,Smith,West Ashleychester,Hawaii,34982,jamesquinn@example.net,929-241-6753,1966-12-21,Engineering,89443,441-52-5456
325412,Gregory,Cooper,Valenzuelamouth,Georgia,26704,harpermaria@example.com,8987876029,1972-01-26,Finance,30762,043-58-5068
502936,Megan,Williams,Autumnhaven,Washington,32192,rodriguezwendy@example.com,+1-964-482-6486,1909-10-13,Sales,119401,330-21-1030
398926,Jeffrey,Chan,Lake Michaelside,Washington,04835,steven27@example.com,+1-975-310-7042x0041,2009-04-15,Finance,118682,125-11-3065
354268,Ryan,Smith,New Sonyatown,Arizona,64001,wbuck@example.org,330.908.7664,2021-10-24,Marketing,66762,116-54-8556
102692,Daniel,Simpson,Shawnfurt,Michigan,07228,zwright@example.org,424.387.3037x9180,2019-12-27,Marketing,120917,034-70-9501
548078,Carol,Lambert,West Larryside,Tennessee,55790,charles27@example.org,001-767-337-6503x52628,2016-01-25,Sales,79604,567-87-4306
542795,Paul,Patterson,North Martha,South Dakota,46952,susan89@example.org,(574)252-7788x77601,1943-03-18,Human Resources,33831,585-99-5243
312406,Justin,Benjamin,East Jenniferchester,South Dakota,51474,blane@example.com,(866)466-9462x4237,1929-11-27,Marketing,86436,253-13-8952
783021,Cynthia,Medina,New Robert,Pennsylvania,68318,linda78@example.org,+1-786-362-2723,2010-08-06,Sales,40883,438-77-4062
584484,Kristen,Harris,Port Trevor,Vermont,27616,andrea66@example.org,773.388.5943,2017-02-05,Sales,131077,019-30-2514
175540,James,Brock,West Annamouth,South Dakota,17324,gary44@example.net,001-387-799-6832,1983-03-25,Marketing,114463,408-60-2124
564654,Michael,Williams,East Randyshire,Wyoming,05295,teresa66@example.org,744.816.5580,2009-06-24,Sales,41430,249-01-5732
408448,Danielle,Rodriguez,Huntstad,New York,33734,kcross@example.com,(598)813-0655x739,1927-03-08,Finance,37332,841-83-0700
320215,Cheyenne,Thomas,Wilsonfurt,New Jersey,66221,icarlson@example.net,+1-401-299-9594x3719,1910-12-29,Sales,140009,277-90-4186
502186,Austin,Avery,Justinview,Kentucky,18411,damonpennington@example.net,(914)490-0845,2003-01-26,Engineering,102861,513-52-2893
310159,Brian,Jackson,Lake Brandonborough,Louisiana,86893,klucas@example.org,+1-304-633-2594,1995-10-09,Human Resources,112370,543-30-4461
483583,Douglas,Russell,Stanleyborough,South Dakota,39105,slopez@example.net,4508349483,1991-05-01,Finance,109261,838-38-6124
367174,Mark,Moses,Elizabethstad,Iowa,47138,garciacynthia@example.org,778.271.9833x924,1983-03-31,Marketing,82739,739-70-8419
